Disease Name,Stages of the Disease
Fungal infection,"First stage: Mild itching or redness in the affected area. Second stage: Formation of scaly patches or rashes. Third stage: Spreading of the infection with irritation. Last stage: Cracked skin, severe discomfort, and potential secondary infection."
Allergy,"First stage: Initial exposure causing mild itching or irritation. Second stage: Sneezing, watery eyes, or mild swelling. Third stage: Severe symptoms like hives or difficulty breathing. Last stage: Anaphylaxis, requiring immediate medical attention."
GERD,First stage: Occasional heartburn after meals. Second stage: Frequent acid reflux with discomfort. Third stage: Esophageal inflammation or damage. Last stage: Development of Barrett's esophagus or esophageal cancer.
Chronic cholestasis,First stage: Fatigue and mild itching. Second stage: Jaundice with yellowing of skin and eyes. Third stage: Liver function impairment with dark urine and pale stools. Last stage: Progression to cirrhosis or liver failure.
Drug Reaction,"First stage: Mild rash or redness. Second stage: Hives, swelling, or itching. Third stage: Severe symptoms like high fever or blistering skin. Last stage: Organ involvement or life-threatening allergic reaction."
Peptic ulcer disease,"First stage: Mild stomach discomfort or bloating. Second stage: Burning pain in the stomach, especially between meals. Third stage: Bleeding or perforation of the ulcer. Last stage: Chronic ulcers with severe complications."
AIDS,First stage: Acute flu-like symptoms. Second stage: Asymptomatic phase with gradual immune system decline. Third stage: Persistent infections and significant weight loss. Last stage: Full-blown AIDS with opportunistic infections and cancers.
Diabetes,"First stage: Pre-diabetes with slight blood sugar elevation. Second stage: Increased thirst, frequent urination, and fatigue. Third stage: Complications like nerve damage or vision problems. Last stage: Severe complications like kidney failure or cardiovascular diseases."
Bronchial Asthma,First stage: Mild wheezing or coughing. Second stage: Shortness of breath with increased coughing. Third stage: Severe episodes with difficulty breathing. Last stage: Chronic airway inflammation with frequent attacks.
Hypertension,"First stage: Elevated blood pressure without symptoms. Second stage: Headaches, fatigue, or dizziness. Third stage: Organ damage affecting kidneys or eyes. Last stage: Severe complications like heart attack or stroke."
Migraine,"First stage: Prodrome with mood changes or food cravings. Second stage: Aura with visual disturbances or tingling. Third stage: Attack with intense headache, nausea, and light sensitivity. Last stage: Postdrome with lingering fatigue or confusion."
